rest_time,heart_rate_stop,heart_rate_start,speed_stop,speed_start,altitude_stop,altitude_start,total_running_time,HRR
26.0,159.0,131.0,14.8464,0.1332,160.6,167.0,1063.0,28.0
6.0,175.0,156.0,6.3828,6.3504,177.6,177.2,32.0,19.0
27.0,185.0,102.0,11.3544,0.1332,171.8,180.2,145.0,83.0
310.0,165.0,79.0,15.4512,3.492,171.6,177.6,355.0,86.0
221.0,152.0,99.0,12.528,0.4356,176.4,166.6,601.0,53.0
336.0,120.0,110.0,1.8144,4.5,173.4,178.6,2713.0,10.0
6.0,148.0,142.0,11.6568,0.504,180.0,180.4,3171.0,6.0
5.0,144.0,140.0,10.3464,1.6452,180.8,179.6,3177.0,4.0
9.0,136.0,127.0,15.2172,0.1692,175.4,175.8,150.0,9.0
58.0,137.0,82.0,12.8664,1.3428,165.2,165.0,615.0,55.0
2.0,142.0,138.0,11.9592,11.8224,173.2,172.6,1698.0,4.0
17.0,141.0,125.0,11.8908,0.1008,192.4,184.8,1903.0,16.0
174.0,158.0,110.0,13.3704,0.0,186.0,185.0,2310.0,48.0
22.0,152.0,140.0,11.9916,4.5684,192.4,192.2,2629.0,12.0
6.0,160.0,150.0,12.2616,0.0684,191.8,195.4,176.0,10.0
37.0,138.0,100.0,11.3544,3.1248,210.8,201.8,640.0,38.0
14.0,137.0,122.0,12.294,0.1332,197.6,201.6,733.0,15.0
58.0,126.0,81.0,11.1528,0.234,168.0,185.6,2692.0,45.0
17.0,137.0,125.0,11.9916,0.1332,162.8,181.4,2816.0,12.0
472.0,152.0,77.0,12.9996,2.2824,175.2,179.8,3299.0,75.0
4.0,143.0,138.0,11.9592,10.5804,188.6,190.2,3678.0,5.0
19.0,150.0,134.0,13.3704,3.1896,189.2,188.8,3892.0,16.0
61.0,146.0,99.0,11.7576,1.9152,200.0,194.4,3993.0,47.0
1125.0,151.0,71.0,14.1408,0.8748,192.4,201.4,4231.0,80.0
30.0,156.0,109.0,12.1248,0.2016,194.0,195.6,4350.0,47.0
25.0,146.0,125.0,12.564,0.2016,204.4,203.2,4570.0,21.0
4.0,146.0,145.0,13.806,7.8588,179.8,180.0,4676.0,1.0
34.0,150.0,98.0,13.1328,0.3348,225.0,230.8,27.0,52.0
8.0,155.0,142.0,14.4792,3.1896,174.4,177.0,226.0,13.0
14.0,159.0,142.0,8.7336,0.1008,164.0,160.4,1267.0,17.0
59.0,164.0,174.0,13.032,3.528,169.8,173.0,357.0,-10.0
463.0,154.0,74.0,15.6204,0.2016,153.6,165.2,558.0,80.0
70.0,124.0,82.0,10.8828,0.1332,164.6,171.2,807.0,42.0
80.0,109.0,83.0,12.1608,0.1332,165.4,173.6,832.0,26.0
103.0,116.0,106.0,2.5848,0.0,179.6,181.2,2641.0,10.0
658.0,165.0,100.0,16.6608,5.4072,171.8,179.6,2820.0,65.0
8.0,145.0,132.0,10.8504,0.3024,181.8,182.8,2886.0,13.0
18.0,166.0,101.0,11.9916,0.0,172.6,171.8,150.0,65.0
4.0,162.0,150.0,9.9432,9.81,223.0,211.6,477.0,12.0
11.0,139.0,119.0,11.1852,0.0324,217.0,200.0,152.0,20.0
20.0,133.0,120.0,9.4392,2.6856,174.0,177.2,1422.0,13.0
1.0,144.0,144.0,12.294,12.564,186.2,185.8,2571.0,0.0
622.0,161.0,81.0,10.8504,0.4032,207.8,187.4,2812.0,80.0
21.0,129.0,112.0,11.6208,0.0324,185.4,192.0,2857.0,17.0
3.0,124.0,119.0,12.6648,11.3544,187.6,186.4,2875.0,5.0
15.0,145.0,132.0,12.1608,0.3348,186.8,190.4,2981.0,13.0
13.0,135.0,127.0,10.0116,0.0684,190.2,188.2,3041.0,8.0
63.0,148.0,100.0,12.9312,0.1692,188.8,187.4,3158.0,48.0
9.0,147.0,139.0,12.8664,0.4716,176.4,181.0,3385.0,8.0
2.0,147.0,146.0,12.4956,9.8424,187.0,186.8,3492.0,1.0
13.0,149.0,141.0,12.7296,0.0684,181.0,180.2,3616.0,8.0
10.0,145.0,138.0,12.6288,0.0324,188.8,190.0,3662.0,7.0
24.0,143.0,115.0,5.7456,0.0,178.8,190.4,1058.0,28.0
5.0,151.0,146.0,12.1932,0.0,193.4,191.6,2459.0,5.0
7.0,158.0,152.0,15.1812,8.6004,190.0,186.8,3088.0,6.0
5.0,160.0,156.0,14.58,8.3628,188.4,185.4,3328.0,4.0
9.0,161.0,155.0,14.6448,8.8344,184.2,189.2,3453.0,6.0
63.0,156.0,113.0,13.9392,0.0,179.0,187.8,3592.0,43.0
4.0,160.0,157.0,14.58,7.1532,189.2,192.6,3893.0,3.0
51.0,154.0,117.0,13.2336,0.0,182.0,211.0,4345.0,37.0
61.0,155.0,108.0,13.9752,0.3348,172.2,175.4,1729.0,47.0
282.0,155.0,87.0,15.3828,0.9756,164.4,180.8,284.0,68.0
172.0,148.0,92.0,13.8384,0.234,187.4,175.6,523.0,56.0
862.0,172.0,92.0,20.6568,2.9232,174.4,174.8,1866.0,80.0
17.0,154.0,136.0,13.068,0.3024,177.4,182.6,3017.0,18.0
19.0,148.0,128.0,12.06,2.2824,190.0,173.8,3119.0,20.0
7.0,151.0,145.0,12.3624,2.7216,167.2,168.0,3250.0,6.0
7.0,164.0,137.0,13.9752,0.0,280.8,281.0,146.0,27.0
5.0,161.0,140.0,11.1528,4.8384,179.2,177.0,157.0,21.0
45.0,149.0,105.0,9.5076,0.9072,182.2,182.0,610.0,44.0
10.0,152.0,143.0,13.2336,0.0,175.4,176.0,2549.0,9.0
4.0,152.0,150.0,14.9148,0.0,47.8,45.2,126.0,2.0
892.0,163.0,66.0,12.8988,4.8384,178.2,219.0,79.0,97.0
53.0,139.0,61.0,10.9152,1.1412,189.0,188.2,203.0,78.0
2.0,150.0,150.0,9.8424,10.9512,180.8,180.8,1558.0,0.0
49.0,164.0,119.0,15.4188,0.3708,156.0,156.2,2681.0,45.0
14.0,154.0,141.0,13.536,0.1332,170.8,171.2,2771.0,13.0
5.0,167.0,147.0,12.9312,0.0,184.4,185.8,5203.0,20.0
18.0,156.0,132.0,9.81,0.0,184.2,183.6,5240.0,24.0
4.0,154.0,148.0,12.4272,8.6328,166.8,167.8,5469.0,6.0
3.0,153.0,152.0,13.1004,10.5156,194.6,194.2,5627.0,1.0
3.0,165.0,156.0,11.7216,10.0116,202.2,205.2,5737.0,9.0
8.0,157.0,145.0,12.6972,0.2016,178.0,180.4,6212.0,12.0
6.0,156.0,147.0,10.6488,0.3024,179.2,180.2,6356.0,9.0
6.0,146.0,140.0,11.7216,0.2016,184.0,185.6,6605.0,6.0
33.0,157.0,125.0,12.6648,2.2824,171.4,178.4,6788.0,32.0
9.0,162.0,150.0,12.8988,0.4032,171.0,172.2,6898.0,12.0
58.0,153.0,104.0,13.536,4.5684,174.8,175.6,800.0,49.0
216.0,172.0,94.0,20.6244,0.0,177.2,176.4,2197.0,78.0
3.0,140.0,137.0,11.52,11.2536,165.2,165.6,2438.0,3.0
23.0,156.0,115.0,13.068,0.2016,196.8,197.0,248.0,41.0
16.0,157.0,122.0,9.7092,0.0,188.8,195.2,478.0,35.0
15.0,153.0,135.0,13.1688,2.3184,189.0,187.6,531.0,18.0
8.0,154.0,136.0,11.7576,0.0684,190.4,191.0,748.0,18.0
15.0,154.0,133.0,12.9312,0.0,180.8,181.0,1049.0,21.0
29.0,150.0,116.0,13.8384,0.0324,184.4,190.0,1063.0,34.0
16.0,164.0,137.0,13.4028,0.0,174.0,172.6,1230.0,27.0
22.0,160.0,129.0,11.7216,2.8224,176.2,179.0,1293.0,31.0
43.0,151.0,102.0,12.0924,0.27,161.0,182.6,1433.0,49.0
62.0,153.0,84.0,12.8304,0.3024,174.0,186.4,1488.0,69.0
5.0,159.0,144.0,13.4712,2.6856,170.4,173.6,1539.0,15.0
7.0,155.0,145.0,13.2696,0.3024,158.2,161.0,1699.0,10.0
4.0,160.0,153.0,14.2416,7.524,167.8,169.0,1834.0,7.0
13.0,155.0,123.0,13.068,0.1008,166.4,169.4,483.0,32.0
46.0,167.0,129.0,14.9472,0.2016,156.4,192.2,2456.0,38.0
6.0,167.0,168.0,13.7052,0.2016,177.8,177.2,186.0,-1.0
3.0,153.0,146.0,12.9996,12.8304,148.2,147.6,516.0,7.0
125.0,155.0,95.0,13.6044,0.0,201.0,196.2,200.0,60.0
6.0,139.0,131.0,11.8224,11.9232,184.4,184.2,1349.0,8.0
156.0,166.0,79.0,13.8384,0.0,166.8,177.8,215.0,87.0
1.0,170.0,170.0,21.2976,16.7292,177.0,177.6,72.0,0.0
4.0,146.0,135.0,17.6004,16.056,236.2,233.0,21.0,11.0
170.0,153.0,85.0,13.6044,5.274,170.4,176.2,355.0,68.0
2.0,154.0,152.0,13.1328,0.0,198.0,196.6,1763.0,2.0
25.0,154.0,127.0,11.556,0.0,184.8,185.6,1853.0,27.0
